duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity_class
151786,0,0.342,0.992,1,-3.616,0,0.105,0.00254,3.32e-06,0.677,0.629,172.891,4,3
281209,0,0.324,0.414,8,-8.541,0,0.0309,0.655,0.0275,0.0932,0.201,128.78,4,3
535720,0,0.358,0.427,7,-9.18,1,0.0296,0.0976,1.07e-05,0.0849,0.0694,145.891,4,3
533109,0,0.677,0.946,10,-9.972,0,0.0516,0.000187,0.875,0.111,0.388,132.0,4,1
234520,0,0.696,0.623,5,-5.883,0,0.0352,0.649,0.0,0.0916,0.947,132.03,4,2
249533,0,0.339,0.625,1,-8.57,1,0.028,0.056,0.000101,0.229,0.334,104.679,4,1
66913,0,0.711,0.728,1,-3.977,0,0.335,0.00631,0.00109,0.0887,0.461,164.871,4,3
229253,0,0.627,0.564,5,-9.525,1,0.0595,0.183,0.0,0.255,0.852,157.882,4,3
641584,0,0.891,0.511,1,-9.948,1,0.0937,0.00129,0.94,0.332,0.103,123.058,4,2
204752,0,0.446,0.0714,2,-14.648,1,0.064,0.972,0.0228,0.0942,0.504,202.618,3,1
251512,1,0.311,0.959,6,-5.104,0,0.107,0.000505,0.00012,0.328,0.336,149.406,3,3
150744,0,0.38,0.958,10,-4.08,0,0.0582,0.000265,0.0117,0.0571,0.694,78.833,4,2
259226,0,0.509,0.666,0,-4.606,1,0.0411,0.625,0.0,0.117,0.125,138.003,4,3
233704,0,0.36,0.969,6,-5.401,0,0.115,4.84e-06,0.668,0.0655,0.247,199.996,3,1
178333,0,0.674,0.175,5,-16.325,0,0.238,0.99,0.00354,0.162,0.78,93.964,4,2
263080,0,0.56,0.815,4,-5.992,1,0.204,0.305,0.0155,0.237,0.921,154.607,4,2
185440,0,0.699,0.516,11,-9.693,0,0.043,0.766,0.878,0.105,0.812,101.722,4,2
186661,0,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,4,1
155880,1,0.94,0.659,10,-6.814,0,0.0581,0.00203,1.14e-06,0.0842,0.54,138.019,4,3
129340,0,0.446,0.558,5,-5.51,0,0.0479,0.457,0.0,0.116,0.431,180.329,3,3
190493,0,0.753,0.245,5,-9.439,1,0.0322,0.757,0.0,0.105,0.407,97.906,3,3
238960,0,0.581,0.674,9,-7.734,0,0.0498,0.353,0.000126,0.303,0.214,139.944,4,3
220566,0,0.576,0.853,3,-4.32,1,0.0373,0.0219,1.76e-05,0.112,0.188,149.981,3,3
280923,0,0.795,0.774,9,-4.705,0,0.0823,0.0465,1.8e-05,0.0486,0.628,128.024,4,2
462608,0,0.656,0.981,11,-6.26,0,0.0512,0.000604,0.643,0.354,0.156,138.042,4,3
188406,0,0.23,0.989,1,-4.102,1,0.245,0.00239,0.000426,0.607,0.48,163.419,4,3
340869,0,0.589,0.899,11,-7.29,0,0.0458,0.000553,0.845,0.122,0.28,138.027,4,2
151510,1,0.889,0.514,4,-6.38,1,0.17,0.134,0.0,0.0859,0.586,104.976,4,1
79830,0,0.542,0.575,9,-11.764,1,0.0808,0.129,0.687,0.272,0.0747,170.135,4,2
132186,0,0.682,0.787,6,-5.989,0,0.0759,0.062,0.0052,0.193,0.501,123.054,4,2
238997,0,0.486,0.221,5,-14.122,1,0.0293,0.969,0.872,0.352,0.0783,147.957,4,2
107050,0,0.675,0.914,9,-6.091,0,0.2,0.141,0.000146,0.689,0.623,127.049,4,3
